location_name,date,temp_meteostat,temp_min_meteostat,temp_max_meteostat,humidity_meteostat,precipitation_meteostat,wind_speed_meteostat,pressure_meteostat,cloud_cover_meteostat
The Views,2025-03-08,29.150000000000002,24.7,36.1,20.416666666666668,0.0,12.866666666666667,1009.5708333333333,2.0416666666666665
The Views,2025-03-09,27.6375,24.3,31.8,32.0,0.0,15.65,1010.4125,4.416666666666667
The Views,2025-03-10,26.916666666666668,23.9,30.8,48.375,0.8,12.791666666666666,1012.6374999999999,5.25
The Views,2025-03-11,28.59583333333333,25.3,35.8,39.0,0.1,9.895833333333334,1012.9875000000001,4.791666666666667
The Views,2025-03-12,28.025000000000002,25.0,31.4,40.625,0.0,10.845833333333333,1013.5083333333333,5.041666666666667
The Views,2025-03-13,24.766666666666666,22.0,27.4,59.083333333333336,0.0,14.512500000000001,1013.65,3.625
The Views,2025-03-14,23.204166666666666,18.2,27.1,68.25,0.0,10.804166666666667,1013.7708333333334,0.4583333333333333
The Views,2025-03-15,24.858333333333334,19.1,30.8,60.416666666666664,0.0,11.995833333333335,1014.1750000000001,0.7916666666666666
The Views,2025-03-16,25.983333333333334,19.8,33.0,50.791666666666664,0.0,12.325000000000001,1015.2041666666668,2.0416666666666665
The Views,2025-03-17,25.041666666666668,23.5,28.9,61.208333333333336,0.0,10.887500000000001,1014.5666666666666,3.2916666666666665
The Views,2025-03-18,23.295833333333334,17.5,28.6,65.83333333333333,0.0,12.950000000000001,1013.625,1.2083333333333333
The Views,2025-03-19,24.191666666666666,18.8,29.4,51.833333333333336,0.0,11.245833333333332,1013.4625,0.5833333333333334
The Views,2025-03-20,26.2625,18.8,32.1,44.125,0.0,9.091666666666667,1013.8583333333332,1.0833333333333333
The Views,2025-03-21,28.21666666666667,21.6,36.8,33.041666666666664,0.0,13.041666666666666,1014.6083333333332,1.375
The Views,2025-03-22,29.724999999999998,24.8,35.0,21.208333333333332,0.0,15.683333333333332,1013.6583333333333,1.4166666666666667
The Views,2025-03-23,29.020833333333332,25.5,35.0,31.875,0.0,13.833333333333334,1013.1666666666666,4.166666666666667
The Views,2025-03-24,24.954166666666666,21.8,27.0,61.125,0.0,19.083333333333332,1015.3208333333333,2.9166666666666665
The Views,2025-03-25,22.025000000000002,20.7,24.8,53.791666666666664,0.0,25.566666666666666,1014.5375,2.5
The Views,2025-03-26,22.058333333333334,17.4,26.0,57.625,0.0,15.404166666666667,1012.6083333333335,1.375
The Views,2025-03-27,23.400000000000002,18.1,29.0,60.5,0.0,12.424999999999999,1013.3708333333334,0.75
The Views,2025-03-28,25.129166666666666,20.1,29.3,55.375,0.0,10.908333333333333,1013.2125000000001,2.5
The Views,2025-03-29,26.766666666666666,20.8,32.4,38.125,0.0,12.766666666666666,1012.5458333333335,0.625
The Views,2025-03-30,27.59166666666667,21.7,33.4,37.666666666666664,0.0,10.4125,1012.4041666666667,0.625
The Views,2025-03-31,28.558333333333334,23.6,35.1,27.833333333333332,0.0,10.637500000000001,1012.5,0.7916666666666666
The Views,2025-04-01,28.275000000000002,23.3,34.3,32.708333333333336,0.0,11.799999999999999,1011.4458333333333,1.25
The Views,2025-04-02,27.59583333333333,22.4,32.3,38.708333333333336,0.0,9.558333333333334,1010.1791666666667,0.5416666666666666
The Views,2025-04-03,28.712500000000002,22.6,38.4,42.5,0.0,11.054166666666667,1010.0666666666667,0.75
The Views,2025-04-04,31.75,24.8,39.2,23.375,0.0,11.520833333333334,1010.6791666666667,0.75
The Views,2025-04-05,32.1375,26.6,39.8,17.75,0.0,12.958333333333334,1011.1708333333332,0.75
The Views,2025-04-06,31.75,25.4,40.0,21.5,0.0,11.545833333333334,1010.9583333333334,1.2916666666666667
The Views,2025-04-07,31.558333333333334,25.4,39.0,26.75,0.0,12.112499999999999,1011.025,2.8333333333333335
The Views,2025-04-08,31.083333333333332,24.3,36.5,32.083333333333336,0.0,12.408333333333333,1010.1958333333333,2.3333333333333335
The Views,2025-04-09,28.59583333333333,24.0,32.4,52.25,0.0,13.575000000000001,1009.125,0.125
The Views,2025-04-10,28.191666666666666,23.4,32.8,56.125,0.0,11.545833333333334,1006.3958333333334,0.4166666666666667
The Views,2025-04-11,29.454166666666666,23.3,36.8,51.291666666666664,0.0,11.620833333333332,1003.6374999999999,0.3333333333333333
The Views,2025-04-12,32.5875,26.6,39.2,27.833333333333332,0.0,10.745833333333332,1003.8375000000001,0.4166666666666667
The Views,2025-04-13,34.9375,29.6,40.1,20.625,0.0,13.9375,1006.7916666666666,0.20833333333333334
The Views,2025-04-14,34.175000000000004,29.1,41.0,26.208333333333332,0.0,11.9375,1008.1999999999999,1.2083333333333333
The Views,2025-04-15,33.5875,29.8,41.0,30.375,0.0,13.779166666666667,1008.1666666666666,2.9166666666666665
The Views,2025-04-16,30.129166666666666,26.0,35.4,52.375,0.0,14.745833333333332,1009.1916666666667,0.0
The Views,2025-04-17,27.695833333333336,23.8,31.4,51.541666666666664,0.0,17.820833333333333,1009.3958333333334,0.25
The Views,2025-04-18,27.054166666666664,25.7,29.0,53.291666666666664,0.0,20.1125,1009.3458333333333,0.5416666666666666
The Views,2025-04-19,26.337500000000002,22.8,30.0,55.25,0.0,15.775,1009.6416666666668,1.2916666666666667
The Views,2025-04-20,26.5125,22.3,30.2,55.25,0.0,12.691666666666668,1009.9958333333334,0.8333333333333334
The Views,2025-04-21,28.183333333333334,23.0,35.2,55.0,0.0,11.029166666666667,1011.6041666666666,0.5416666666666666
The Views,2025-04-22,29.95,23.5,35.8,42.0,0.0,9.733333333333333,1012.6666666666666,0.375
The Views,2025-04-23,33.1625,26.1,38.0,25.166666666666668,0.0,9.5625,1010.3125,0.4583333333333333
The Views,2025-04-24,30.066666666666666,26.6,35.0,43.291666666666664,0.0,11.004166666666668,1006.9541666666668,0.3333333333333333
The Views,2025-04-25,30.0125,24.1,37.5,52.291666666666664,0.0,11.65,1006.7166666666667,0.5416666666666666
The Views,2025-04-26,33.141666666666666,25.8,42.2,34.166666666666664,0.0,10.05,1006.4125,3.2083333333333335
The Views,2025-04-27,35.9125,28.6,43.7,21.416666666666668,0.0,10.895833333333334,1006.8041666666667,3.7083333333333335
The Views,2025-04-28,36.25833333333333,30.6,43.1,16.041666666666668,0.0,11.908333333333333,1005.7583333333333,3.3333333333333335
The Views,2025-04-29,36.0,29.6,43.8,18.916666666666668,0.0,11.745833333333332,1004.3666666666667,0.6666666666666666
The Views,2025-04-30,35.045833333333334,29.4,41.8,26.625,0.0,12.758333333333333,1005.2624999999999,0.4583333333333333
The Views,2025-05-01,34.59166666666667,29.4,40.8,25.625,0.0,11.950000000000001,1006.4541666666668,0.5416666666666666
The Views,2025-05-02,34.07083333333333,27.3,40.2,33.291666666666664,0.0,10.029166666666667,1006.4625,0.125
The Views,2025-05-03,33.920833333333334,28.8,38.5,33.458333333333336,0.0,14.1,1005.0291666666667,1.3333333333333333
The Views,2025-05-04,35.125,29.3,42.0,24.25,0.0,14.070833333333333,1003.7333333333335,1.125
The Views,2025-05-05,35.608333333333334,29.6,41.2,22.291666666666668,0.0,12.908333333333333,1003.3083333333334,0.75
The Views,2025-05-06,33.9,29.7,38.0,36.125,0.0,17.8875,1003.6458333333334,0.0
The Views,2025-05-07,30.962500000000002,28.0,33.0,46.125,0.0,20.966666666666665,1004.8833333333333,0.3333333333333333
The Views,2025-05-08,28.400000000000002,24.0,32.2,52.375,0.0,19.8875,1004.3541666666666,0.5
The Views,2025-05-09,29.120833333333334,24.0,36.2,56.625,0.0,12.612499999999999,1005.9583333333334,0.5
The Views,2025-05-10,30.3625,25.5,34.5,63.625,0.0,11.9,1006.9125,0.16666666666666666
The Views,2025-05-11,32.65,27.8,38.0,46.75,0.0,12.083333333333334,1005.9250000000001,0.375
The Views,2025-05-12,34.704166666666666,29.8,40.5,32.083333333333336,0.0,10.829166666666666,1004.1291666666667,0.8333333333333334
The Views,2025-05-13,35.40833333333333,29.6,42.0,26.916666666666668,0.0,12.070833333333333,1004.0666666666667,0.4166666666666667
The Views,2025-05-14,35.166666666666664,29.8,40.8,30.666666666666668,0.0,14.279166666666667,1005.0291666666667,0.25
The Views,2025-05-15,35.6875,29.6,41.0,26.041666666666668,0.0,14.416666666666666,1006.3625000000001,0.16666666666666666
The Views,2025-05-16,33.75416666666667,29.5,39.0,33.041666666666664,0.0,12.195833333333333,1005.6333333333333,0.2916666666666667
The Views,2025-05-17,31.329166666666666,27.0,35.5,60.333333333333336,0.0,16.504166666666666,1004.2624999999999,0.25
The Views,2025-05-18,30.875,26.0,35.8,52.416666666666664,0.0,12.424999999999999,1004.5,0.20833333333333334
The Views,2025-05-19,31.962500000000002,27.1,36.0,56.166666666666664,0.0,10.870833333333332,1002.6416666666668,0.2916666666666667
The Views,2025-05-20,33.550000000000004,28.8,38.0,55.583333333333336,0.0,10.5875,1001.6541666666667,0.16666666666666666
The Views,2025-05-21,34.4125,28.8,41.3,47.166666666666664,0.0,10.654166666666667,1000.9541666666668,0.0
The Views,2025-05-22,35.458333333333336,28.5,43.8,46.958333333333336,0.0,11.525,999.9375,0.125
The Views,2025-05-23,37.35,31.4,44.5,27.208333333333332,0.0,10.979166666666666,997.5124999999999,0.16666666666666666
The Views,2025-05-24,38.025,31.4,46.5,24.458333333333332,0.0,11.379166666666668,996.6208333333334,0.2916666666666667
The Views,2025-05-25,36.30833333333333,31.0,44.3,35.291666666666664,0.0,13.487499999999999,997.7624999999999,0.375
The Views,2025-05-26,36.96666666666667,30.1,45.3,37.75,0.0,14.745833333333332,1000.0749999999999,0.16666666666666666
The Views,2025-05-27,34.358333333333334,30.5,37.2,42.0,0.0,14.733333333333334,1000.0708333333333,0.0
The Views,2025-05-28,33.583333333333336,28.9,37.8,49.083333333333336,0.0,13.700000000000001,999.6083333333335,0.041666666666666664
The Views,2025-05-29,35.541666666666664,29.8,43.0,42.916666666666664,0.0,11.933333333333332,999.0041666666667,0.041666666666666664
The Views,2025-05-30,35.375,30.8,40.2,40.458333333333336,0.0,12.554166666666667,998.8333333333334,0.041666666666666664
The Views,2025-05-31,34.07083333333333,29.0,39.2,51.25,0.0,15.241666666666667,1000.5375,0.0
The Views,2025-06-01,32.49166666666667,27.8,37.0,52.25,0.0,12.291666666666666,1002.1999999999999,0.20833333333333334
The Views,2025-06-02,34.49166666666667,29.1,40.0,46.583333333333336,0.0,10.945833333333333,1000.2125,0.25
The Views,2025-06-03,32.916666666666664,27.8,38.5,60.916666666666664,0.0,12.291666666666666,998.6583333333333,0.0
The Views,2025-06-04,32.0375,28.0,37.0,64.45833333333333,0.0,15.929166666666667,999.5541666666667,0.20833333333333334
The Views,2025-06-05,31.825,27.0,38.8,57.166666666666664,0.0,14.845833333333333,1002.0916666666667,0.0
The Views,2025-06-06,31.245833333333334,26.8,36.5,57.125,0.0,14.666666666666666,1004.9708333333333,0.5
The Views,2025-06-07,32.012499999999996,27.3,36.0,64.375,0.0,14.1625,1005.3541666666666,0.5416666666666666
The Views,2025-06-08,33.270833333333336,30.5,38.0,64.29166666666667,0.0,13.745833333333332,1004.6958333333333,0.3333333333333333
The Views,2025-06-09,35.574999999999996,30.5,40.0,46.041666666666664,0.0,14.225,1004.5166666666668,0.4166666666666667
The Views,2025-06-10,37.12916666666667,31.1,42.8,37.125,0.0,12.700000000000001,1002.625,0.0
The Views,2025-06-11,36.99583333333333,32.1,42.0,31.166666666666668,0.0,12.841666666666667,1002.0500000000001,0.0
The Views,2025-06-12,37.525,32.6,44.2,32.041666666666664,0.0,11.700000000000001,1001.4458333333333,0.0
The Views,2025-06-13,37.1875,32.8,43.2,36.75,0.0,11.754166666666668,1000.7666666666668,0.041666666666666664
